neighborhood,year,livabilityScore
"Bennekel-West, Gagelbosch",2016,3.99180505207929
"Bennekel-West, Gagelbosch",2018,3.97828259823742
"Bennekel-West, Gagelbosch",2020,4.00030041565315
"Bennekel-West, Gagelbosch",2022,4.03692568012307
"Bennekel-West, Gagelbosch",2024,4.01911076760166
Bergen,2014,4.08717692203181
Bergen,2016,4.07225523538588
Bergen,2018,4.12016813684855
Bergen,2020,4.12610970953597
Bergen,2022,4.18675139178523
Bergen,2024,4.10454388056076
Binnenstad,2014,4.06899416523487
Binnenstad,2016,4.07217025362153
Binnenstad,2018,4.06836534484982
Binnenstad,2020,4.1000398742251
Binnenstad,2022,4.17766429479397
Binnenstad,2024,4.09864792806629
Blaarthem,2014,3.91729050692833
Blaarthem,2016,3.96412053987867
Blaarthem,2018,3.96721332799646
Blaarthem,2020,3.9756794425959
Blaarthem,2022,4.02373796466854
Blaarthem,2024,4.00380854493879
Blixembosch-Oost,2014,4.1406171659053
Blixembosch-Oost,2016,4.1475424085211
Blixembosch-Oost,2018,4.16822576974697
Blixembosch-Oost,2020,4.18181017732967
Blixembosch-Oost,2022,4.20782568973649
Blixembosch-Oost,2024,4.17735352369189
Blixembosch-West,2014,4.18232918129761
Blixembosch-West,2016,4.18125358041061
Blixembosch-West,2018,4.19946819078388
Blixembosch-West,2020,4.23202455687357
Blixembosch-West,2022,4.24244998486868
Blixembosch-West,2024,4.21957463774806
Bloemenplein,2014,4.04024629201213
Bloemenplein,2016,4.11579367163157
Bloemenplein,2018,4.07851802954714
Bloemenplein,2020,4.09068127965996
Bloemenplein,2022,4.11318174840336
Bloemenplein,2024,4.08247045187014
Bokt,2014,4.18958202800295
Bokt,2016,4.18746778048269
Bokt,2018,4.2888180333521
Bokt,2020,4.28645518862183
Bokt,2022,4.23665978586824
Bokt,2024,4.23244838273961
Bosrijk,2014,4.22182633021784
Bosrijk,2016,4.20921316967085
Bosrijk,2018,4.19395531704062
Bosrijk,2020,4.21878198660131
Bosrijk,2022,4.29851287325151
Bosrijk,2024,4.26944841733565
Burghplan,2014,3.95620668415457
Burghplan,2016,3.97872233481185
Burghplan,2018,3.97920194175322
Burghplan,2020,4.02337829656601
Burghplan,2022,4.04443440975994
Burghplan,2024,4.03394443970308
Castiliëlaan,2014,4.46666647342408
Castiliëlaan,2016,4.46239849474891
Castiliëlaan,2018,4.58423834134335
Castiliëlaan,2020,4.27444923519552
Castiliëlaan,2022,4.19392521624708
Castiliëlaan,2024,3.93568466051803
Doornakkers-Oost,2014,3.90505533531116
Doornakkers-Oost,2016,3.91455452108981
Doornakkers-Oost,2018,3.90434696630185
Doornakkers-Oost,2020,3.96717160149427
Doornakkers-Oost,2022,3.9105967270336
Doornakkers-Oost,2024,3.88563193741291
Doornakkers-West,2014,3.9808538791422
Doornakkers-West,2016,4.02384569607131
Doornakkers-West,2018,3.99882749586191
Doornakkers-West,2020,4.05867278976866
Doornakkers-West,2022,4.03835143028096
Doornakkers-West,2024,4.01490092497629
Drents Dorp,2014,4.02296744281419
Drents Dorp,2016,4.02607892045436
Drents Dorp,2018,4.0221613214969
Drents Dorp,2020,4.03862698941049
Drents Dorp,2022,4.10075451965842
Drents Dorp,2024,4.06907359207194
Driehoeksbos,2014,4.21296802081338
Driehoeksbos,2016,4.20367069786258
Driehoeksbos,2018,4.24381697042209
Driehoeksbos,2020,4.25640747471034
Driehoeksbos,2022,4.26223691704332
Driehoeksbos,2024,4.23173013583026
Eckart,2014,3.92437185078329
Eckart,2016,3.9649521478093
Eckart,2018,3.9520466948258
Eckart,2020,3.97847492443874
Eckart,2022,3.97340185559399
Eckart,2024,3.95731521602651
Eikenburg,2014,4.27046032391196
Eikenburg,2016,4.26127324531499
Eikenburg,2018,4.29963667794534
Eikenburg,2020,4.31706150381431
Eikenburg,2022,4.31755498593576
Eikenburg,2024,4.28207725353676
Eindhoven Airport,2014,4.23497355150963
Eindhoven Airport,2016,4.33433092698945
Eindhoven Airport,2018,4.27783774847744
Eindhoven Airport,2020,4.33336664684806
Eindhoven Airport,2022,4.35048915901938
Eindhoven Airport,2024,4.19832497513984
"Eliasterrein, Vonderkwartier",2014,4.17008548605724
"Eliasterrein, Vonderkwartier",2016,4.18994031879665
"Eliasterrein, Vonderkwartier",2018,4.21674331680065
"Eliasterrein, Vonderkwartier",2020,4.2372180651272
"Eliasterrein, Vonderkwartier",2022,4.23090505823073
"Eliasterrein, Vonderkwartier",2024,4.20055472403739
Elzent-Noord,2014,4.06060826263513
Elzent-Noord,2016,4.12240887370162
Elzent-Noord,2018,4.13632709794459
Elzent-Noord,2020,4.17739781513407
Elzent-Noord,2022,4.19333139567209
Elzent-Noord,2024,4.0897039097443
Elzent-Zuid,2014,4.44142769812203
Elzent-Zuid,2016,4.47748529968206
Elzent-Zuid,2018,4.43722951202707
Elzent-Zuid,2020,4.42804211824099
Elzent-Zuid,2022,4.45122526494515
Elzent-Zuid,2024,4.39647665687008
Engelsbergen,2014,4.13169664045555
Engelsbergen,2016,4.16596859901238
Engelsbergen,2018,4.21425992635213
Engelsbergen,2020,4.2457337201718
Engelsbergen,2022,4.21946803776203
Engelsbergen,2024,4.22299300263224
Esp,2014,4.17796927634289
Esp,2016,4.28279684025799
Esp,2018,4.35733665350482
Esp,2020,4.34570960068478
Esp,2022,4.36335311412906
Esp,2024,4.23470398754834
Fellenoord,2016,3.96810970776024
Fellenoord,2018,4.00585822055031
Fellenoord,2020,4.11513040611064
Fellenoord,2022,4.11228848988405
Fellenoord,2024,4.1148853877903
Genderbeemd,2014,4.16351550388703
Genderbeemd,2016,4.09967756069915
Genderbeemd,2018,4.13183935709877
Genderbeemd,2020,4.12129536918077
Genderbeemd,2022,4.13719690418167
Genderbeemd,2024,4.12533937950339
Genderdal,2014,3.98107344027011
Genderdal,2016,3.95720842412987
Genderdal,2018,3.96906775857636
Genderdal,2020,3.97750229953968
Genderdal,2022,3.99730379256887
Genderdal,2024,4.00072452590241
Generalenbuurt,2014,3.99536144222143
Generalenbuurt,2016,4.03909446456739
Generalenbuurt,2018,4.02514466272703
Generalenbuurt,2020,4.05708381805778
Generalenbuurt,2022,4.03201029906
Generalenbuurt,2024,4.04340803980257
Gennep,2014,4.29896369742268
Gennep,2016,4.35126270475077
Gennep,2018,4.34218023380777
Gennep,2020,4.33050032162162
Gennep,2022,4.33246290711083
Gennep,2024,4.35638847982885
Genneperzijde,2014,4.24339644521391
Genneperzijde,2016,4.25318312234844
Genneperzijde,2018,4.20039581991067
Genneperzijde,2020,4.19398542458217
Genneperzijde,2022,4.20896182208602
Genneperzijde,2024,4.20711187497855
Gerardusplein,2014,4.09755241164513
Gerardusplein,2016,4.15938640194733
Gerardusplein,2018,4.13192471899992
Gerardusplein,2020,4.16234202332501
Gerardusplein,2022,4.19724196986961
Gerardusplein,2024,4.16207707090203
Gijzenrooi,2014,4.20868774474779
Gijzenrooi,2016,4.2128047399575
Gijzenrooi,2018,4.22305492007539
Gijzenrooi,2020,4.25614011698784
Gijzenrooi,2022,4.25849969979879
Gijzenrooi,2024,4.23587374021661
Gildebuurt,2014,3.9733710551643
Gildebuurt,2016,3.96564099592026
Gildebuurt,2018,3.97985525679314
Gildebuurt,2020,4.0331612059839
Gildebuurt,2022,4.04789515975683
Gildebuurt,2024,4.01813854072867
Grasrijk,2014,4.12579908364372
Grasrijk,2016,4.14097177228509
Grasrijk,2018,4.13242836549447
Grasrijk,2020,4.13598538487527
Grasrijk,2022,4.18641235546427
Grasrijk,2024,4.1773798215603
Hagenkamp,2014,4.0567633630733
Hagenkamp,2016,4.08578520929099
Hagenkamp,2018,4.11265942387835
Hagenkamp,2020,4.18256946465674
Hagenkamp,2022,4.13139835206232
Hagenkamp,2024,4.0774638100501
Hanevoet,2014,4.12154614352859
Hanevoet,2016,4.12798328308307
Hanevoet,2018,4.14534212574912
Hanevoet,2020,4.14842174527816
Hanevoet,2022,4.1531529080383
Hanevoet,2024,4.14281782450615
Heesterakker,2014,4.07558025922083
Heesterakker,2016,4.10149794626426
Heesterakker,2018,4.11727926265668
Heesterakker,2020,4.12969590015886
Heesterakker,2022,4.16081897225665
Heesterakker,2024,4.1506486687095
Hemelrijken,2014,3.9262176428451
Hemelrijken,2016,3.91696608318902
Hemelrijken,2018,3.93032612811046
Hemelrijken,2020,3.97337771821447
Hemelrijken,2022,3.9935751466472
Hemelrijken,2024,3.97165749661777
Herdgang,2014,4.5615330811273
Herdgang,2016,4.31110901149504
Herdgang,2018,4.44506628479527
Herdgang,2020,4.42792987462314
Herdgang,2022,4.30194468769511
Herdgang,2024,4.3732729594553
Het Ven,2014,4.04223571584579
Het Ven,2016,4.04057586057295
Het Ven,2018,4.05968716429099
Het Ven,2020,4.07900471054583
Het Ven,2022,4.09624682827347
Het Ven,2024,4.07831093562332
Hondsheuvels,2014,4.23108289968432
Hondsheuvels,2016,4.33402657368911
Hondsheuvels,2018,4.29796166341402
Hondsheuvels,2020,4.29720701091153
Hondsheuvels,2022,4.26312515359814
Hondsheuvels,2024,4.15495721365499
Hurk,2014,4.11684643287192
Hurk,2016,4.09330268123994
Hurk,2018,4.11965697986906
Hurk,2020,4.12871377054785
Hurk,2022,4.1770277424084
Hurk,2024,4.04477377201633
Irisbuurt,2014,4.08487520983954
Irisbuurt,2016,4.10624165938336
Irisbuurt,2018,4.1617808602225
Irisbuurt,2020,4.16353425058461
Irisbuurt,2022,4.17460728933515
Irisbuurt,2024,4.11470945924481
Jagershoef,2014,3.9225240464856
Jagershoef,2016,3.91345238256977
Jagershoef,2018,3.92893023168514
Jagershoef,2020,3.96374193528273
Jagershoef,2022,3.97418925475023
Jagershoef,2024,3.93345001332381
Joriskwartier,2014,4.10384229066934
Joriskwartier,2016,4.17709945447854
Joriskwartier,2018,4.13414498159896
Joriskwartier,2020,4.13729164114655
Joriskwartier,2022,4.15990206892397
Joriskwartier,2024,4.11490716290823
Kapelbeemd,2014,4.17242434714227
Kapelbeemd,2016,4.16319551143466
Kapelbeemd,2018,4.13232046339265
Kapelbeemd,2020,4.07855119273054
Kapelbeemd,2022,4.11284303838793
Kapelbeemd,2024,4.15000984272906
Karpen,2014,4.41817796293965
Karpen,2016,4.40213463573097
Karpen,2018,4.47362215598488
Karpen,2020,4.45780698228983
Karpen,2022,4.42408104651363
Karpen,2024,4.44579004995603
Kerkdorp Acht,2014,4.21789029817558
Kerkdorp Acht,2016,4.22260036652119
Kerkdorp Acht,2018,4.19425405349201
Kerkdorp Acht,2020,4.17786598640238
Kerkdorp Acht,2022,4.20677922801174
Kerkdorp Acht,2024,4.20200099385099
Kerstroosplein,2014,3.9491738787966
Kerstroosplein,2016,4.01614446121891
Kerstroosplein,2018,4.01142018866344
Kerstroosplein,2020,4.05968022961206
Kerstroosplein,2022,4.08503256251088
Kerstroosplein,2024,4.05406143282523
Koudenhoven,2014,4.330315360862
Koudenhoven,2016,4.30567631623266
Koudenhoven,2018,4.34852485264952
Koudenhoven,2020,4.39212240110385
Koudenhoven,2022,4.37010579557168
Koudenhoven,2024,4.36678731947492
Kronehoef,2014,4.02825543585129
Kronehoef,2016,4.05051666673488
Kronehoef,2018,4.04976935170245
Kronehoef,2020,4.0766718947009
Kronehoef,2022,4.05546415103378
Kronehoef,2024,4.04727916358316
Kruidenbuurt,2014,4.04162105426399
Kruidenbuurt,2016,4.05604667768023
Kruidenbuurt,2018,4.04616948186171
Kruidenbuurt,2020,4.07498453923899
Kruidenbuurt,2022,4.13930881755794
Kruidenbuurt,2024,4.12984778139352
Lakerlopen,2014,3.95302562352831
Lakerlopen,2016,3.97926706329759
Lakerlopen,2018,4.01446198847402
Lakerlopen,2020,4.06206983653075
Lakerlopen,2022,4.08085204519511
Lakerlopen,2024,4.06137759436306
Lievendaal,2014,4.00815121662742
Lievendaal,2016,3.97912595265314
Lievendaal,2018,4.00865111332812
Lievendaal,2020,4.02780431705935
Lievendaal,2022,4.05385326555274
Lievendaal,2024,4.02638699392083
Limbeek-Noord,2014,3.84193285941018
Limbeek-Noord,2016,3.81251440182053
Limbeek-Noord,2018,3.89943587408407
Limbeek-Noord,2020,3.9485676409572
Limbeek-Noord,2022,3.95385978846703
Limbeek-Noord,2024,3.92466131984514
Limbeek-Zuid,2014,3.90035308553298
Limbeek-Zuid,2016,3.84681839095144
Limbeek-Zuid,2018,3.89176063875549
Limbeek-Zuid,2020,3.92160697397058
Limbeek-Zuid,2022,3.95499150656164
Limbeek-Zuid,2024,3.9232862362226
Looiakkers,2014,4.11130058855624
Looiakkers,2016,4.18126675717072
Looiakkers,2018,4.12784680174447
Looiakkers,2020,4.16823179141248
Looiakkers,2022,4.19079012043992
Looiakkers,2024,4.15189674812487
Luytelaer,2014,4.29817053974841
Luytelaer,2016,4.30302462490552
Luytelaer,2018,4.31485320340659
Luytelaer,2020,4.3285449456666
Luytelaer,2022,4.34337224714262
Luytelaer,2024,4.31949737966012
Meerbos,2014,4.28139588568604
Meerbos,2016,4.10952655940359
Meerbos,2018,4.30336178892119
Meerbos,2020,4.31433088680444
Meerbos,2022,4.00573086543005
Meerbos,2024,4.24670727714619
Meerrijk,2014,4.06639014111053
Meerrijk,2016,4.07555566446405
Meerrijk,2018,4.07199938579487
Meerrijk,2020,4.12344930159608
Meerrijk,2022,4.15753124998816
Meerrijk,2024,4.15011197606697
Mensfort,2014,3.91091658356593
Mensfort,2016,3.93067847931596
Mensfort,2018,3.93364168045879
Mensfort,2020,3.98478339703432
Mensfort,2022,3.97168677511877
Mensfort,2024,3.96566814950623
Mispelhoef,2014,4.1883248281867
Mispelhoef,2016,4.1458424648554
Mispelhoef,2018,4.0615129985318
Mispelhoef,2020,4.02812434809609
Mispelhoef,2022,4.12388084257635
Mispelhoef,2024,4.03210918952511
"Muschberg, Geestenberg",2014,3.96995519446261
"Muschberg, Geestenberg",2016,4.03893546935783
"Muschberg, Geestenberg",2018,4.02499722328688
"Muschberg, Geestenberg",2020,4.04467389720597
"Muschberg, Geestenberg",2022,4.06694823944348
"Muschberg, Geestenberg",2024,4.07105842110005
Nieuwe Erven,2014,3.95988395210824
Nieuwe Erven,2016,4.00969053313265
Nieuwe Erven,2018,3.97282781936208
Nieuwe Erven,2020,4.01522073257788
Nieuwe Erven,2022,4.06394895089888
Nieuwe Erven,2024,4.04635280987138
Ooievaarsnest,2014,4.29282706018708
Ooievaarsnest,2016,4.29975760321396
Ooievaarsnest,2018,4.31823826724718
Ooievaarsnest,2020,4.28617326226289
Ooievaarsnest,2022,4.3022329658848
Ooievaarsnest,2024,4.29093264279844
Oude Gracht-Oost,2014,4.25530901213926
Oude Gracht-Oost,2016,4.23412529458181
Oude Gracht-Oost,2018,4.26854932293395
Oude Gracht-Oost,2020,4.31092386635942
Oude Gracht-Oost,2022,4.28425774271305
Oude Gracht-Oost,2024,4.29720031535954
Oude Gracht-West,2014,4.016565930517
Oude Gracht-West,2016,4.02906942470184
Oude Gracht-West,2018,4.06044474099449
Oude Gracht-West,2020,4.08475732147651
Oude Gracht-West,2022,4.04638042355787
Oude Gracht-West,2024,4.04770817398437
Oude Spoorbaan,2014,4.07119437627417
Oude Spoorbaan,2016,4.092122543456
Oude Spoorbaan,2018,4.07098919443336
Oude Spoorbaan,2020,4.09318001625932
Oude Spoorbaan,2022,4.11766893833963
Oude Spoorbaan,2024,4.09253939867418
Oude Toren,2014,3.95006988097667
Oude Toren,2016,3.97765001455865
Oude Toren,2018,4.0196174994057
Oude Toren,2020,4.05473756705331
Oude Toren,2022,3.98644171529646
Oude Toren,2024,3.96690186632249
Park Forum,2014,4.19817468327638
Park Forum,2016,4.31318930035616
Park Forum,2018,4.25053219529039
Park Forum,2020,4.23880736465462
Park Forum,2022,4.32016693090587
Park Forum,2024,4.2417325320071
Philipsdorp,2014,4.05630366909309
Philipsdorp,2016,4.12654930185195
Philipsdorp,2018,4.15161304778721
Philipsdorp,2020,4.19963963826862
Philipsdorp,2022,4.18355174443781
Philipsdorp,2024,4.14041783583052
Prinsejagt,2014,4.01252797539561
Prinsejagt,2016,4.01790466430019
Prinsejagt,2018,4.0050714530598
Prinsejagt,2020,4.03669101648611
Prinsejagt,2022,4.07057764257212
Prinsejagt,2024,4.03616637452767
Puttense Dreef,2014,4.10395476088031
Puttense Dreef,2016,4.1250840261464
Puttense Dreef,2018,4.155400861819
Puttense Dreef,2020,4.19807999645571
Puttense Dreef,2022,4.21192899239407
Puttense Dreef,2024,4.22131090951691
Rapelenburg,2014,4.08569951562041
Rapelenburg,2016,4.13162802836851
Rapelenburg,2018,4.02941256169191
Rapelenburg,2020,4.02685507578302
Rapelenburg,2022,4.0077588739124
Rapelenburg,2024,3.98796760554642
Rapenland,2014,3.95702275648241
Rapenland,2016,3.9818509244365
Rapenland,2018,3.98697943558424
Rapenland,2020,4.04139801607742
Rapenland,2022,3.96602887385596
Rapenland,2024,3.99091828828384
Riel,2014,4.40041343926917
Riel,2016,4.48458393787463
Riel,2018,4.42712871399182
Riel,2020,4.42522677407287
Riel,2022,4.41528076961673
Riel,2024,4.40485450019
Rochusbuurt,2014,3.98733736281
Rochusbuurt,2016,4.03365577415913
Rochusbuurt,2018,4.07330577831099
Rochusbuurt,2020,4.08452535245773
Rochusbuurt,2022,4.10468267936465
Rochusbuurt,2024,3.99137097732962
Roosten,2014,4.36159657551755
Roosten,2016,4.36851939977034
Roosten,2018,4.382980352813
Roosten,2020,4.39586985911251
Roosten,2022,4.4136365524088
Roosten,2024,4.39998931348555
Schoot,2014,4.01020082923219
Schoot,2016,4.06511627570238
Schoot,2018,4.09737423603425
Schoot,2020,4.1485626870006
Schoot,2022,4.0687978430597
Schoot,2024,4.05365308034836
Schouwbroek,2014,4.03816071897078
Schouwbroek,2016,4.04443867067519
Schouwbroek,2018,4.08933059003653
Schouwbroek,2020,4.12960320120191
Schouwbroek,2022,4.13081288690275
Schouwbroek,2024,4.10987187769828
Schrijversbuurt,2014,4.19268310965536
Schrijversbuurt,2016,4.21134384086069
Schrijversbuurt,2018,4.20395351055898
Schrijversbuurt,2020,4.20438304350635
Schrijversbuurt,2022,4.24249742426229
Schrijversbuurt,2024,4.2239049496039
Schuttersbosch,2014,4.28295110859057
Schuttersbosch,2016,4.30902679317252
Schuttersbosch,2018,4.29494674869281
Schuttersbosch,2020,4.31481655236804
Schuttersbosch,2022,4.34744441920019
Schuttersbosch,2024,4.31653881253523
Sintenbuurt,2014,4.01914304495851
Sintenbuurt,2016,4.05676421495374
Sintenbuurt,2018,4.05695843349177
Sintenbuurt,2020,4.08031705031076
Sintenbuurt,2022,4.13491427501746
Sintenbuurt,2024,4.1255454412686
Sportpark Aalsterweg,2014,4.45367762242418
Sportpark Aalsterweg,2016,4.47226574618092
Sportpark Aalsterweg,2018,4.48026324761296
Sportpark Aalsterweg,2020,4.53765668296468
Sportpark Aalsterweg,2022,4.47562070303268
Sportpark Aalsterweg,2024,4.42233834018616
Strijp S,2014,3.97171250930368
Strijp S,2016,3.97100091750905
Strijp S,2018,4.05963074907816
Strijp S,2020,4.0645255870142
Strijp S,2022,4.10319735131811
Strijp S,2024,4.01634823266288
TU-terrein,2014,3.70741490325988
TU-terrein,2016,3.83436093301926
TU-terrein,2018,3.82863940477211
TU-terrein,2020,3.76297233810706
TU-terrein,2022,3.81161160745375
TU-terrein,2024,3.97469412734136
Tempel,2014,4.01099588299625
Tempel,2016,4.01607425828499
Tempel,2018,4.03134432514192
Tempel,2020,4.04884761100801
Tempel,2022,4.06468467146812
Tempel,2024,4.04704191460117
Tivoli,2014,3.92532334174358
Tivoli,2016,3.94380639937081
Tivoli,2018,3.96930166714126
Tivoli,2020,4.00252533590566
Tivoli,2022,3.99638468308928
Tivoli,2024,4.01730647695944
Tongelresche Akkers,2014,4.06275437145561
Tongelresche Akkers,2016,4.0406236086493
Tongelresche Akkers,2018,4.11542206227337
Tongelresche Akkers,2020,4.11024466414813
Tongelresche Akkers,2022,4.13846788397595
Tongelresche Akkers,2024,4.17366450615865
Tuindorp,2014,4.15401716879252
Tuindorp,2016,4.19890461734876
Tuindorp,2018,4.18258517135031
Tuindorp,2020,4.18679973500468
Tuindorp,2022,4.22624598943306
Tuindorp,2024,4.19426766033941
Urkhoven,2014,4.29351808590334
Urkhoven,2016,4.241894905566
Urkhoven,2018,4.24736492822785
Urkhoven,2020,4.18549645179847
Urkhoven,2022,4.29953830170865
Urkhoven,2024,4.34831643481135
Vaartbroek,2014,3.88921827025336
Vaartbroek,2016,3.91426810424802
Vaartbroek,2018,3.91508221869196
Vaartbroek,2020,3.94955135177936
Vaartbroek,2022,3.96300312366733
Vaartbroek,2024,3.96671973063374
Villapark,2014,4.18592668261705
Villapark,2016,4.19646497566815
Villapark,2018,4.21921247878574
Villapark,2020,4.22692571512361
Villapark,2022,4.24507104736346
Villapark,2024,4.22686289141797
Vlokhoven,2014,3.90426071298088
Vlokhoven,2016,3.91849919550909
Vlokhoven,2018,3.9492378514498
Vlokhoven,2020,3.97260418466352
Vlokhoven,2022,3.95720803193858
Vlokhoven,2024,3.95090260419805
Vredeoord,2014,4.13492883094851
Vredeoord,2016,3.78840645892038
Vredeoord,2018,4.03388220881222
Vredeoord,2020,4.23509435137086
Vredeoord,2022,4.3098943620969
Vredeoord,2024,4.23998924194892
Waterrijk,2014,4.24287384885105
Waterrijk,2016,4.2075161212219
Waterrijk,2018,4.22082159683267
Waterrijk,2020,4.1978582683361
Waterrijk,2022,4.21597319057682
Waterrijk,2024,4.22298788518185
Wielewaal,2014,4.4511714197062
Wielewaal,2016,4.44912982135967
Wielewaal,2018,4.40006928464618
Wielewaal,2020,4.37779386299585
Wielewaal,2022,4.40848099986201
Wielewaal,2024,4.42376797857578
Winkelcentrum,2014,3.96182179948796
Winkelcentrum,2016,3.97870984090767
Winkelcentrum,2018,4.00358494401089
Winkelcentrum,2020,4.04187660692071
Winkelcentrum,2022,4.03722969170045
Winkelcentrum,2024,4.00000191137831
Witte Dame,2014,4.09571348531003
Witte Dame,2016,3.97880872058399
Witte Dame,2018,4.00742033770532
Witte Dame,2020,4.02270964772483
Witte Dame,2022,4.03495879569018
Witte Dame,2024,3.93992511277363
Woensel-West,2014,3.89681295420801
Woensel-West,2016,3.97847347897174
Woensel-West,2018,3.97977653958748
Woensel-West,2020,4.0069398051433
Woensel-West,2022,4.04573260985158
Woensel-West,2024,4.00694376277177
Woenselse Heide,2014,3.992725928697
Woenselse Heide,2016,4.01142469191419
Woenselse Heide,2018,4.0102288586978
Woenselse Heide,2020,4.04238065612012
Woenselse Heide,2022,4.04551018720893
Woenselse Heide,2024,4.01778764684614
Woenselse Watermolen,2014,4.06190697079373
Woenselse Watermolen,2016,4.10202204367207
Woenselse Watermolen,2018,4.08106069355335
Woenselse Watermolen,2020,4.161767615876
Woenselse Watermolen,2022,4.19160020319132
Woenselse Watermolen,2024,4.09094212585205
Zandrijk,2014,4.08582696282389
Zandrijk,2016,4.12883850001293
Zandrijk,2018,4.12025775472677
Zandrijk,2020,4.14560232768902
Zandrijk,2022,4.16279475684711
Zandrijk,2024,4.18878649977803
Zwaanstraat,2014,4.14104159644202
Zwaanstraat,2016,4.20756810916337
Zwaanstraat,2018,4.18318610374307
Zwaanstraat,2020,4.22791298699275
Zwaanstraat,2022,4.26167085073333
Zwaanstraat,2024,4.25208986031387
