neighborhood,year1,year2,livabilityDelta,populationDelta,dwellingsDelta,wozDelta,safetyDelta,facilitiesDeviationDelta,housingDeviationDelta
"Bennekel-West, Gagelbosch",2020,2022,0.03662526446992,-70.0,11.0,50.0,0.6,-0.0030193158536237,-0.007105535560544
"Bennekel-West, Gagelbosch",2022,2024,-0.01781491252141,24.0,2.0,47.0,-0.1,-0.0052014066776532,-0.0051376469025194
Bergen,2014,2016,-0.01492168664593,94.0,102.0,,,,
Bergen,2016,2018,0.04791290146267,73.0,250.0,3.0,,,
Bergen,2018,2020,0.00594157268742,166.0,14.0,70.0,0.2,0.014351677801378,-0.0085553465893206
Bergen,2020,2022,0.06064168224926,67.0,49.0,51.0,0.2,0.033058169594671,0.0348641262688623
Bergen,2022,2024,-0.08220751122447,112.0,26.0,34.0,-0.2,0.001669794860835,-0.0028334461977786
Binnenstad,2014,2016,0.00317608838666,139.0,315.0,,,,
Binnenstad,2016,2018,-0.00380490877171,527.0,59.0,53.0,,,
Binnenstad,2018,2020,0.03167452937528,152.0,51.0,42.0,-0.2,0.030411091673227,0.0051554987608447
Binnenstad,2020,2022,0.07762442056887,140.0,91.0,59.0,0.3,0.023095354792781,0.0064049765708815
Binnenstad,2022,2024,-0.07901636672768,184.0,58.0,44.0,-0.3,-0.000522645056694,0.0000801778593965
Blaarthem,2014,2016,0.04683003295034,48.0,9.0,,,,
Blaarthem,2016,2018,0.00309278811779,-9.0,11.0,14.0,,,
Blaarthem,2018,2020,0.00846611459944,-9.0,7.0,36.0,-0.4,0.016636861370994,-0.0056313301155996
Blaarthem,2020,2022,0.04805852207264,-4.0,37.0,45.0,0.5,-0.0052313790678838,0.0103343730893611
Blaarthem,2022,2024,-0.01992941972975,79.0,15.0,36.0,0.2,-0.0049878922715155,-0.0135865887302561
Blixembosch-Oost,2014,2016,0.0069252426158,50.0,95.0,,,,
Blixembosch-Oost,2016,2018,0.02068336122587,166.0,77.0,33.0,,,
Blixembosch-Oost,2018,2020,0.0135844075827,29.0,37.0,56.0,0.1,0.0082977402342907,-0.0015854220185735
Blixembosch-Oost,2020,2022,0.02601551240682,-28.0,14.0,60.0,0.4,-0.0069693555344085,0.0058422221449518
Blixembosch-Oost,2022,2024,-0.0304721660446,168.0,122.0,73.0,0.1,-0.0082804199628936,0.0025997038237039
Blixembosch-West,2014,2016,-0.001075600887,-17.0,0.0,,,,
Blixembosch-West,2016,2018,0.01821461037327,16.0,-2.0,36.0,,,
Blixembosch-West,2018,2020,0.03255636608969,-34.0,0.0,55.0,0.1,0.0104020525533477,0.0004552281442064
Blixembosch-West,2020,2022,0.01042542799511,-23.0,0.0,61.0,0.4,-0.006278224709338,0.0002890533738832
Blixembosch-West,2022,2024,-0.02287534712062,-29.0,0.0,74.0,0.1,-0.0080974116049456,0.0006227296169406
Bloemenplein,2014,2016,0.07554737961944,36.0,14.0,,,,
Bloemenplein,2016,2018,-0.03727564208443,46.0,37.0,6.0,,,
Bloemenplein,2018,2020,0.01216325011282,-43.0,-2.0,40.0,0.2,0.016293933584038,0.0032117196763157
Bloemenplein,2020,2022,0.0225004687434,10.0,42.0,50.0,0.1,-0.007478090391068,-0.0044317454194789
Bloemenplein,2022,2024,-0.03071129653322,14.0,8.0,39.0,0.2,0.004746625077873,-0.0083882089795472
Bokt,2014,2016,-0.00211424752026,1.0,2.0,,,,
Bokt,2016,2018,0.10135025286941,-5.0,1.0,,,,
Bokt,2018,2020,-0.00236284473027,3.0,0.0,,,-0.0007081546309762,0.007565920243963
Bokt,2020,2022,-0.04979540275359,-10.0,2.0,61.0,,-0.0007155858907425,-0.002448356061287
Bokt,2022,2024,-0.00421140312863,12.0,0.0,76.0,,-0.0039678777380312,-0.0096958960088929
Bosrijk,2014,2016,-0.01261316054699,16.0,0.0,,,,
Bosrijk,2016,2018,-0.01525785263023,-15.0,0.0,9.0,,,
Bosrijk,2018,2020,0.02482666956069,25.0,4.0,61.0,0.1,0.0459731176026531,0.0019843549092769
Bosrijk,2020,2022,0.0797308866502,6.0,5.0,56.0,0.1,0.0046395066813312,0.0091595200208747
Bosrijk,2022,2024,-0.02906445591586,177.0,66.0,87.0,0.1,-0.0118341907315097,-0.0052302488062282
Burghplan,2014,2016,0.02251565065728,67.0,4.0,,,,
Burghplan,2016,2018,0.00047960694137,63.0,11.0,17.0,,,
Burghplan,2018,2020,0.04417635481279,-23.0,0.0,37.0,0.0,0.0206271358261953,0.0118022651482515
Burghplan,2020,2022,0.02105611319393,-122.0,2.0,42.0,0.1,-0.0065593926973876,-0.001525094452145
Burghplan,2022,2024,-0.01048997005686,79.0,1.0,44.0,0.2,-0.0012378204678358,-0.0068469514903942
Castiliëlaan,2014,2016,-0.00426797867517,260.0,0.0,,,,
Castiliëlaan,2016,2018,0.12183984659444,-304.0,0.0,,,,
Castiliëlaan,2018,2020,-0.30978910614783,-45.0,0.0,,,0.0067116268914656,-0.229105089394438
Castiliëlaan,2020,2022,-0.08052401894844,28.0,39.0,,,-0.0076754324570918,-0.1377383651059292
Castiliëlaan,2022,2024,-0.25824055572905,540.0,222.0,-59.0,,-0.0005395974798135,-0.0954117103444223
Doornakkers-Oost,2014,2016,0.00949918577865,4.0,6.0,,,,
Doornakkers-Oost,2016,2018,-0.01020755478796,11.0,1.0,13.0,,,
Doornakkers-Oost,2018,2020,0.06282463519242,21.0,45.0,21.0,-0.3,0.0270151562163728,0.0134300815741833
Doornakkers-Oost,2020,2022,-0.05657487446067,-26.0,-1.0,39.0,0.6,-0.0179018320611752,-0.0090825845172022
Doornakkers-Oost,2022,2024,-0.02496478962069,36.0,14.0,36.0,0.1,0.0091303449251068,-0.018278532379127
Doornakkers-West,2014,2016,0.04299181692911,68.0,26.0,,,,
Doornakkers-West,2016,2018,-0.0250182002094,-81.0,9.0,17.0,,,
Doornakkers-West,2018,2020,0.05984529390675,-27.0,35.0,38.0,-0.3,0.0224044634534237,0.0084071138074005
Doornakkers-West,2020,2022,-0.0203213594877,41.0,57.0,38.0,0.6,-0.0101335013169567,-0.0064189003475251
Doornakkers-West,2022,2024,-0.02345050530467,32.0,29.0,40.0,0.1,0.0088790902581766,-0.0165337192026366
Drents Dorp,2014,2016,0.00311147764017,169.0,31.0,,,,
Drents Dorp,2016,2018,-0.00391759895746,24.0,0.0,32.0,,,
Drents Dorp,2018,2020,0.01646566791359,-20.0,1.0,40.0,-0.2,0.0179486815937313,0.0038117222220923
Drents Dorp,2020,2022,0.06212753024793,-12.0,25.0,49.0,0.4,0.0030148212720871,-0.0075066700140314
Drents Dorp,2022,2024,-0.03168092758648,275.0,164.0,55.0,0.3,-0.0087871212224839,-0.0047093132748733
Driehoeksbos,2014,2016,-0.0092973229508,-36.0,0.0,,,,
Driehoeksbos,2016,2018,0.04014627255951,-14.0,0.0,27.0,,,
Driehoeksbos,2018,2020,0.01259050428825,-10.0,0.0,47.0,0.2,0.0159722314611409,-0.0009867682260792
Driehoeksbos,2020,2022,0.00582944233298,-14.0,0.0,62.0,0.2,-0.0029762541431269,0.0014456197445994
Driehoeksbos,2022,2024,-0.03050678121306,-20.0,0.0,72.0,0.2,0.0057624443400982,-0.0137986700385156
Eckart,2014,2016,0.04058029702601,-10.0,-1.0,,,,
Eckart,2016,2018,-0.0129054529835,-43.0,34.0,16.0,,,
Eckart,2018,2020,0.02642822961294,42.0,-33.0,31.0,0.4,0.0140271996440243,0.0052565709534252
Eckart,2020,2022,-0.00507306884475,-15.0,0.0,38.0,0.0,-0.0065987929603943,-0.0051293280661479
Eckart,2022,2024,-0.01608663956748,25.0,0.0,49.0,0.0,-0.0039802685319702,-0.004716959126786
Eikenburg,2014,2016,-0.00918707859697,48.0,2.0,,,,
Eikenburg,2016,2018,0.03836343263035,10.0,70.0,21.0,,,
Eikenburg,2018,2020,0.01742482586897,28.0,0.0,64.0,0.3,0.01231541095411,-0.008217887746984
Eikenburg,2020,2022,0.00049348212145,16.0,29.0,66.0,0.0,0.0065498211070136,0.0062188124294221
Eikenburg,2022,2024,-0.035477732399,-30.0,0.0,75.0,0.3,-0.0056176003682088,0.0015420796618103
"Eliasterrein, Vonderkwartier",2014,2016,0.01985483273941,54.0,2.0,,,,
"Eliasterrein, Vonderkwartier",2016,2018,0.026802998004,-4.0,5.0,38.0,,,
"Eliasterrein, Vonderkwartier",2018,2020,0.02047474832655,-19.0,4.0,37.0,0.1,0.01348016834449,-0.0033836913308101
"Eliasterrein, Vonderkwartier",2020,2022,-0.00631300689647,2.0,11.0,57.0,0.5,0.017036780027498,0.0138736158479018
"Eliasterrein, Vonderkwartier",2022,2024,-0.03035033419334,160.0,119.0,44.0,-0.2,-0.00347361473477,-0.0146575687570168
Elzent-Noord,2014,2016,0.06180061106649,16.0,1.0,,,,
Elzent-Noord,2016,2018,0.01391822424297,46.0,34.0,50.0,,,
Elzent-Noord,2018,2020,0.04107071718948,58.0,1.0,68.0,0.1,0.00807229189317,0.0435499215913911
Elzent-Noord,2020,2022,0.01593358053802,-25.0,-1.0,92.0,0.3,0.022599761027621,-0.0187646690649632
Elzent-Noord,2022,2024,-0.10362748592779,206.0,2.0,69.0,0.1,0.000696622895353,-0.0165160087996865
Elzent-Zuid,2014,2016,0.03605760156003,-10.0,16.0,,,,
Elzent-Zuid,2016,2018,-0.04025578765499,90.0,46.0,160.0,,,
Elzent-Zuid,2018,2020,-0.00918739378608,17.0,9.0,135.0,0.1,0.016627624433719,-0.0025714227562665
Elzent-Zuid,2020,2022,0.02318314670416,-7.0,0.0,122.0,0.3,0.01022463971399,0.0218811352920485
Elzent-Zuid,2022,2024,-0.05474860807507,-9.0,0.0,111.0,0.1,0.003773881608027,-0.0281381138257913
Engelsbergen,2014,2016,0.03427195855683,-12.0,1.0,,,,
Engelsbergen,2016,2018,0.04829132733975,7.0,11.0,28.0,,,
Engelsbergen,2018,2020,0.03147379381967,-21.0,1.0,43.0,0.1,0.013148407742409,0.0134015204733769
Engelsbergen,2020,2022,-0.02626568240977,11.0,1.0,71.0,0.5,0.00838920629571,0.0016294184603129
Engelsbergen,2022,2024,0.00352496487021,-13.0,11.0,75.0,-0.2,-0.002596049871712,0.0017474179416296
Esp,2014,2016,0.1048275639151,-1.0,0.0,,,,
Esp,2016,2018,0.07453981324683,0.0,0.0,,,,
Esp,2018,2020,-0.01162705282004,4.0,0.0,,,0.0024248476211156,0.008346522852591
Esp,2020,2022,0.01764351344428,1.0,0.0,,,0.0092428394436976,-0.003719000327583
Esp,2022,2024,-0.12864912658072,3.0,0.0,,,-0.0039551759721251,-0.015733079274205
Fellenoord,2018,2020,0.10927218556033,4.0,0.0,24.0,,0.021764621938491,0.0792133741418267
Fellenoord,2020,2022,-0.00284191622659,8.0,0.0,25.0,,0.020868274324288,-0.0446898736341357
Fellenoord,2022,2024,0.00259689790625,19.0,0.0,19.0,,0.002611334029298,-0.009861925944849
Genderbeemd,2014,2016,-0.06383794318788,55.0,0.0,,,,
Genderbeemd,2016,2018,0.03216179639962,-17.0,13.0,8.0,,,
Genderbeemd,2018,2020,-0.010543987918,-7.0,1.0,45.0,0.1,0.0112203816985602,-0.0059743925118762
Genderbeemd,2020,2022,0.0159015350009,-64.0,0.0,53.0,0.4,-0.0038053179000507,-0.0054968203388239
Genderbeemd,2022,2024,-0.01185752467828,36.0,2.0,58.0,-0.1,-0.0077524946454262,-0.0017053859574587
Genderdal,2014,2016,-0.02386501614024,98.0,19.0,,,,
Genderdal,2016,2018,0.01185933444649,51.0,1.0,12.0,,,
Genderdal,2018,2020,0.00843454096332,50.0,10.0,29.0,0.2,0.014150255082836,0.000940832320559
Genderdal,2020,2022,0.01980149302919,-126.0,2.0,44.0,0.1,-0.0035220975874126,0.0006433644174591
Genderdal,2022,2024,0.00342073333354,119.0,-24.0,30.0,0.4,-0.0097236405631325,-0.0176441570229388
Generalenbuurt,2014,2016,0.04373302234596,11.0,0.0,,,,
Generalenbuurt,2016,2018,-0.01394980184036,-32.0,6.0,16.0,,,
Generalenbuurt,2018,2020,0.03193915533075,51.0,78.0,33.0,0.1,0.0128785073160209,0.0052474759645819
Generalenbuurt,2020,2022,-0.02507351899778,-27.0,4.0,39.0,0.4,-0.0023778012404941,0.0108943703324661
Generalenbuurt,2022,2024,0.01139774074257,-71.0,12.0,45.0,0.0,0.0082579624473291,-0.0025388317182392
Gennep,2014,2016,0.05229900732809,-8.0,0.0,,,,
Gennep,2016,2018,-0.009082470943,6.0,0.0,,,,
Gennep,2018,2020,-0.01167991218615,1.0,0.0,,,0.0126622432245501,-0.0031583472714148
Gennep,2020,2022,0.00196258548921,-6.0,0.0,,,-0.0037468259632968,-0.0063877504546941
Gennep,2022,2024,0.02392557271802,6.0,1.0,,,-0.0060067136463592,0.0038391534784908
Genneperzijde,2014,2016,0.00978667713453,-29.0,0.0,,,,
Genneperzijde,2016,2018,-0.05278730243777,103.0,91.0,0.0,,,
Genneperzijde,2018,2020,-0.0064103953285,62.0,0.0,41.0,0.1,0.0131651398612922,0.0143920067089087
Genneperzijde,2020,2022,0.01497639750385,-4.0,0.0,53.0,0.3,0.003496980794567,0.0133330425724051
Genneperzijde,2022,2024,-0.00184994710747,5.0,-1.0,55.0,0.1,-0.007976401962859,0.000502409933584
Gerardusplein,2014,2016,0.0618339903022,139.0,24.0,,,,
Gerardusplein,2016,2018,-0.02746168294741,135.0,164.0,37.0,,,
Gerardusplein,2018,2020,0.03041730432509,2.0,7.0,45.0,0.1,0.020427660469232,0.0007750193618353
Gerardusplein,2020,2022,0.0348999465446,-19.0,13.0,57.0,0.3,0.00617923832178,0.0105725132479852
Gerardusplein,2022,2024,-0.03516489896758,25.0,10.0,55.0,0.3,-0.006054616560069,-0.0010510287598587
Gijzenrooi,2014,2016,0.00411699520971,-41.0,0.0,,,,
Gijzenrooi,2016,2018,0.01025018011789,-2.0,0.0,29.0,,,
Gijzenrooi,2018,2020,0.03308519691245,-50.0,5.0,52.0,0.2,0.0072065658352589,0.0000474532469947
Gijzenrooi,2020,2022,0.00235958281095,-27.0,0.0,64.0,0.2,0.0081735409408112,0.0017244700667994
Gijzenrooi,2022,2024,-0.02262595958218,-19.0,0.0,86.0,0.0,-0.0041522879993021,-0.0059740597250058
Gildebuurt,2014,2016,-0.00773005924404,11.0,13.0,,,,
Gildebuurt,2016,2018,0.01421426087288,115.0,44.0,17.0,,,
Gildebuurt,2018,2020,0.05330594919076,-38.0,19.0,37.0,-0.5,0.024093291560135,0.0278435464402438
Gildebuurt,2020,2022,0.01473395377293,377.0,25.0,30.0,0.2,0.007065891416777,-0.0139410004569813
Gildebuurt,2022,2024,-0.02975661902816,222.0,69.0,31.0,-0.2,0.003810266575045,-0.0459018491295163
Grasrijk,2014,2016,0.01517268864137,129.0,17.0,,,,
Grasrijk,2016,2018,-0.00854340679062,422.0,181.0,38.0,,,
Grasrijk,2018,2020,0.0035570193808,46.0,7.0,56.0,0.1,0.0293493694832065,-0.0028933295815828
Grasrijk,2020,2022,0.050426970589,17.0,2.0,63.0,0.1,0.0042535345375686,0.0117935542069745
Grasrijk,2022,2024,-0.00903253390397,88.0,57.0,69.0,0.1,-0.011155511801306,-0.0027106743406437
Hagenkamp,2014,2016,0.02902184621769,57.0,35.0,,,,
Hagenkamp,2016,2018,0.02687421458736,-10.0,0.0,12.0,,,
Hagenkamp,2018,2020,0.06991004077839,-6.0,-14.0,38.0,0.3,0.012148401958125,0.0104931932467027
Hagenkamp,2020,2022,-0.05117111259442,26.0,36.0,37.0,0.1,0.001812596139388,-0.0078481832602738
Hagenkamp,2022,2024,-0.05393454201222,25.0,0.0,34.0,-0.1,-0.002632363775741,-0.0036698323688271
Hanevoet,2014,2016,0.00643713955448,-48.0,0.0,,,,
Hanevoet,2016,2018,0.01735884266605,-42.0,1.0,24.0,,,
Hanevoet,2018,2020,0.00307961952904,4.0,3.0,34.0,0.2,0.008915561179494,-0.0027406352543315
Hanevoet,2020,2022,0.00473116276014,-66.0,0.0,48.0,0.2,-0.0010690460412528,0.0073759605585701
Hanevoet,2022,2024,-0.01033508353215,86.0,0.0,52.0,0.0,-0.0152785828622329,-0.0024975729548187
Heesterakker,2014,2016,0.02591768704343,-50.0,0.0,,,,
Heesterakker,2016,2018,0.01578131639242,-22.0,0.0,23.0,,,
Heesterakker,2018,2020,0.01241663750218,-65.0,0.0,44.0,-0.2,0.0084435332923181,0.0000977519819295
Heesterakker,2020,2022,0.03112307209779,-47.0,0.0,52.0,0.2,0.0005841398368547,0.0151829889905133
Heesterakker,2022,2024,-0.01017030354715,36.0,0.0,60.0,0.1,-0.0038330378983897,-0.0010957664856064
Hemelrijken,2014,2016,-0.00925155965608,256.0,313.0,,,,
Hemelrijken,2016,2018,0.01336004492144,122.0,-101.0,7.0,,,
Hemelrijken,2018,2020,0.04305159010401,183.0,45.0,48.0,-0.5,0.027537048820441,0.0038722276553705
Hemelrijken,2020,2022,0.02019742843273,127.0,184.0,38.0,0.2,0.009381871597384,0.0093000482163973
Hemelrijken,2022,2024,-0.02191765002943,125.0,60.0,40.0,-0.2,0.002038377020429,-0.0176822917241676
Herdgang,2014,2016,-0.25042406963226,0.0,5.0,,,,
Herdgang,2016,2018,0.13395727330023,-1.0,-4.0,,,,
Herdgang,2018,2020,-0.01713641017213,1.0,0.0,,,0.0180482623394186,-0.0199707533639851
Herdgang,2020,2022,-0.12598518692803,-2.0,1.0,,,0.0073908391766431,0.0002342374645081
Herdgang,2022,2024,0.07132827176019,1.0,0.0,,,-0.0077597352370567,0.002357503530024
Het Ven,2014,2016,-0.00165985527284,131.0,9.0,,,,
Het Ven,2016,2018,0.01911130371804,-62.0,-7.0,16.0,,,
Het Ven,2018,2020,0.01931754625484,-146.0,12.0,19.0,0.0,0.0160785384158155,0.0069850577318325
Het Ven,2020,2022,0.01724211772764,-121.0,-13.0,45.0,0.4,-0.0030157949935025,0.0018771009974123
Het Ven,2022,2024,-0.01793589265015,-119.0,-112.0,55.0,0.2,-0.0082088540104025,-0.0076293275308579
Hondsheuvels,2014,2016,0.10294367400479,-15.0,0.0,,,,
Hondsheuvels,2016,2018,-0.03606491027509,-27.0,0.0,23.0,,,
Hondsheuvels,2018,2020,-0.00075465250249,15.0,0.0,14.0,,0.0219961390324091,-0.0068842344481795
Hondsheuvels,2020,2022,-0.03408185731339,6.0,0.0,38.0,,-0.003756242897862,0.0163549566952834
Hondsheuvels,2022,2024,-0.10816793994315,144.0,33.0,-59.0,,0.004938981494961,-0.1278619320836336
Hurk,2014,2016,-0.02354375163198,-6.0,0.0,,,,
Hurk,2016,2018,0.02635429862912,-16.0,-1.0,,,,
Hurk,2018,2020,0.00905679067879,1.0,0.0,,,0.0035611880010536,0.0034880703132709
Hurk,2020,2022,0.04831397186055,-10.0,0.0,,,0.0034296787129647,0.0075604317560756
Hurk,2022,2024,-0.13225397039207,-6.0,0.0,,,-0.0091379116806373,-0.0076428350211999
Irisbuurt,2014,2016,0.02136644954382,141.0,98.0,,,,
Irisbuurt,2016,2018,0.05553920083914,11.0,0.0,22.0,,,
Irisbuurt,2018,2020,0.00175339036211,186.0,137.0,48.0,0.3,0.010068431971188,0.0048354282828271
Irisbuurt,2020,2022,0.01107303875054,241.0,78.0,68.0,0.3,0.002986978287698,0.0117612755946576
Irisbuurt,2022,2024,-0.05989783009034,57.0,14.0,55.0,-0.1,-0.009883881099284,0.0001004014182282
Jagershoef,2014,2016,-0.00907166391583,47.0,0.0,,,,
Jagershoef,2016,2018,0.01547784911537,-30.0,0.0,14.0,,,
Jagershoef,2018,2020,0.03481170359759,-6.0,2.0,30.0,0.3,0.0132653866295212,0.0020535289378826
Jagershoef,2020,2022,0.0104473194675,-32.0,0.0,42.0,0.1,-0.0063521593469623,-0.0002364937019612
Jagershoef,2022,2024,-0.04073924142642,97.0,24.0,43.0,0.0,-0.0047455930480742,-0.0085922613666999
Joriskwartier,2014,2016,0.0732571638092,0.0,16.0,,,,
Joriskwartier,2016,2018,-0.04295447287958,12.0,2.0,0.0,,,
Joriskwartier,2018,2020,0.00314665954759,150.0,77.0,63.0,0.1,0.008103283579648,0.0031971573049033
Joriskwartier,2020,2022,0.02261042777742,-9.0,1.0,52.0,0.2,0.000252323403659,-0.0034794549822058
Joriskwartier,2022,2024,-0.04499490601574,6.0,2.0,45.0,0.1,0.003895201446305,-0.0041898825407281
Kapelbeemd,2014,2016,-0.00922883570761,8.0,-1.0,,,,
Kapelbeemd,2016,2018,-0.03087504804201,-4.0,1.0,,,,
Kapelbeemd,2018,2020,-0.05376927066211,9.0,3.0,,,0.0118083266867024,-0.002242317982885
Kapelbeemd,2020,2022,0.03429184565739,-3.0,0.0,15.0,,-0.0015948343348662,-0.0061574769415748
Kapelbeemd,2022,2024,0.03716680434113,3.0,0.0,92.0,,0.0004105269531801,0.0131632955690372
Karpen,2014,2016,-0.01604332720868,-14.0,-1.0,,,,
Karpen,2016,2018,0.07148752025391,-4.0,1.0,25.0,,,
Karpen,2018,2020,-0.01581517369505,33.0,0.0,16.0,0.1,0.0063384098291342,-0.0042447890952457
Karpen,2020,2022,-0.0337259357762,-2.0,0.0,94.0,0.0,0.005848126465935,-0.017364025241437
Karpen,2022,2024,0.0217090034424,11.0,0.0,120.0,-0.2,0.005556186331175,0.0185984388486077
Kerkdorp Acht,2014,2016,0.00471006834561,-4.0,3.0,,,,
Kerkdorp Acht,2016,2018,-0.02834631302918,-19.0,0.0,28.0,,,
Kerkdorp Acht,2018,2020,-0.01638806708963,67.0,3.0,33.0,0.3,0.0118603306564876,-0.0002044164375383
Kerkdorp Acht,2020,2022,0.02891324160936,-34.0,0.0,63.0,0.1,-0.0036586984754385,-0.0015508537545942
Kerkdorp Acht,2022,2024,-0.00477823416075,61.0,11.0,70.0,0.1,0.0015177057525599,-0.0006241886863615
Kerstroosplein,2014,2016,0.06697058242231,9.0,3.0,,,,
Kerstroosplein,2016,2018,-0.00472427255547,-59.0,1.0,21.0,,,
Kerstroosplein,2018,2020,0.04826004094862,-55.0,2.0,36.0,0.2,0.012662599041582,0.0045032581163999
Kerstroosplein,2020,2022,0.02535233289882,24.0,6.0,43.0,0.1,0.02385959835272,0.0061117409588597
Kerstroosplein,2022,2024,-0.03097112968565,41.0,9.0,46.0,0.2,-0.005798938073717,-0.0177760696438866
Koudenhoven,2014,2016,-0.02463904462934,1.0,0.0,,,,
Koudenhoven,2016,2018,0.04284853641686,11.0,0.0,52.0,,,
Koudenhoven,2018,2020,0.04359754845433,16.0,0.0,55.0,0.1,0.0157029903460168,-0.00189918286806
Koudenhoven,2020,2022,-0.02201660553217,10.0,0.0,71.0,0.0,-0.0025693911600886,0.0019643290843208
Koudenhoven,2022,2024,-0.00331847609676,-2.0,0.0,97.0,-0.2,0.0056478260429673,0.0014059116069894
Kronehoef,2014,2016,0.02226123088359,4.0,51.0,,,,
Kronehoef,2016,2018,-0.00074731503243,154.0,134.0,12.0,,,
Kronehoef,2018,2020,0.02690254299845,39.0,33.0,11.0,-0.1,0.0327154654144582,0.0003133674029151
Kronehoef,2020,2022,-0.02120774366712,327.0,167.0,43.0,0.0,-0.005690764761118,-0.0097820937283055
Kronehoef,2022,2024,-0.00818498745062,239.0,146.0,40.0,0.2,0.005838415330086,-0.0052245030024908
